extern_id,name,addr,tel,region,location,access,budget,shop_type,cuisine_type,station,adjusted_addr,latitude,longitude,rating
27413,和菜SALOON　ガス燈,名古屋市千種区今池１－８－８今池ガスビル８Ｆ,050-5831-2693,愛知県,新栄/千種/大曽根(北/名東/東区),地下鉄今池駅直結（10番出口）今池ガスビル8階,昼1500円／夜3500円,ダイニングバー,和風創作料理,池下/今池/吹上,名古屋市千種区今池1-8-8,35.1689355,136.9364594,
27414,BABU：SHIMU　,名古屋市中区栄３－２－３１　NOAビル６F,052-243-4646,愛知県,栄(ミナミ)/矢場町/大須/上前津,地下鉄栄駅サカエチカ３番出口もしくは丸栄出口から徒歩３分,3500円,ダイニングバー,洋風創作料理,栄/伏見/矢場町,名古屋市中区栄3-2-31,35.1678065,136.9036929,
27419,IRISH PUB CELTS　【ケルツ】　八重洲店,中央区日本橋３－２－１７,050-5815-1019,東京都,東京・大手町・日本橋・人形町,ＪＲ東京駅八重洲口徒歩５分／地下鉄日本橋駅徒歩５分,2500円（通常平均）　2000円（宴会平均）,バー・カクテル,ピザ,東京/日本橋,中央区日本橋3-2-17,35.6807382,139.7711167,
27420,LIVE RESTAURANT HIT STUDIO TOKYO 　ヒットスタジオ　トウキョウ,中央区日本橋３－２－１７　B１階,050-5815-1021,東京都,東京・大手町・日本橋・人形町,ＪＲ東京駅徒歩3分／地下鉄日本橋駅徒歩5分,4000円,カラオケ・パーティ,洋風創作料理,東京/日本橋,中央区日本橋3-2-17,35.6807382,139.7711167,
27421,うまいものいっぱい　個室　居酒屋　いろはにほへと　立川北口店,立川市曙町２－7－２０　カメヤビル６F,050-5815-9575,東京都,八王子・立川・多摩・国立,JR立川駅北口徒歩1分。北口コンコースから真っすぐ進み、左側のエスカレーターから大通りにおりたらすぐ左側のビル6階,2500円,居酒屋,和食全般,立川/立川北,立川市曙町2-7-20,35.6997326,139.4138458,
27428,【貸切・パーティー】ハーレムフリーク（Harlem Freak）,港区六本木４－１２－１２　１Ｆ,050-5815-4580,東京都,赤坂・六本木・麻布十番・西麻布,地下鉄六本木駅7番出口　徒歩30秒／地下鉄乃木坂駅　徒歩8分,3000円,ダイニングバー,洋食全般,乃木坂/六本木,港区六本木4-12-12,35.6647639,139.7316675,
27440,うまいもの市場　ＴＡＰＡ　金山店,名古屋市中区金山４－１－２４　コスモＩＩＢ１Ｆ,052-350-5490,愛知県,金山・鶴舞・御器所・八事・杁中,金山総合駅2番出口すぐ,(宴会時：3500円)（サクっと飲む時：2000円）,居酒屋,無国籍・多国籍料理,尾頭橋/金山/東別院,名古屋市中区金山4-1-24,35.1441235,136.9029992,
27452,24時間営業　味のお好み焼き　大阪家,新宿区歌舞伎町１-17-12　浅川ビル　B1F,050-5815-0909,東京都,新宿,新宿駅東口徒歩3分靖国通りから来て歌舞伎町ドンキーの角を曲がったセントラル通り左側地下１F。赤い提灯が目印です。,昼　800円　　夜　2500円,お好み焼き・もんじゃ・鉄板焼き,お好み焼き・もんじゃ,新宿/西武新宿,新宿区歌舞伎町1-17-12,35.6940623,139.7014357,
27454,貸切Party　Dinning　麦犬　～むぎいぬ～,武蔵野市吉祥寺本町１－２６－１　ＪＫ吉祥寺ビルＢ１,0422-23-0171,東京都,吉祥寺・荻窪・三鷹,JR吉祥寺駅中央口徒歩2分,2500円,ダイニングバー,洋風創作料理,吉祥寺,武蔵野市吉祥寺本町1-26-1,35.7041974,139.5822621,
27455,泡盛と沖縄料理　ニライカナイ　ぱなり（離れ）,武蔵野市吉祥寺東町１－６－１　１Ｆ,050-5815-6863,東京都,吉祥寺・荻窪・三鷹,JR吉祥寺駅北口　徒歩5分,3000円,居酒屋,沖縄料理,吉祥寺,武蔵野市吉祥寺東町1-6-1,35.7065276,139.5813982,
